,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0062,0.9937499761581421,192,224,224,0.6,0.00045324009010254916,224
1,0219,0.9933333396911621,96,256,160,0.6,0.0006799686297603734,224
2,0398,0.9933333396911621,64,160,96,0.1,0.001279713054131916,224
3,0337,0.9932500123977661,160,128,64,0.5,0.0011826668665147007,224
4,0443,0.9932500123977661,192,192,192,0.8,0.000672414586438146,224
5,0223,0.9931666851043701,128,96,192,0.5,0.0014016636859761544,224
6,0037,0.9930833578109741,256,128,64,0.6,0.0016315597133914807,224
7,0038,0.9930833578109741,256,128,64,0.6,0.0016315597133914807,224
8,0127,0.9929999709129333,96,96,224,0.30000000000000004,0.002481824293272705,224
9,0243,0.9929999709129333,128,224,64,0.5,0.0010509199655136681,224
10,0260,0.9929999709129333,224,224,96,0.4,0.0007078536645991944,224
11,0429,0.9929999709129333,32,96,256,0.7000000000000001,0.0008462322805190992,224
12,0061,0.9929166436195374,160,224,160,0.6,0.0021059431968100052,224
13,0220,0.9929166436195374,128,96,192,0.5,0.0014016636859761544,224
14,0222,0.9929166436195374,96,256,160,0.6,0.0006799686297603734,224
15,0334,0.9929166436195374,160,128,64,0.5,0.0011826668665147007,224
16,0407,0.9929166436195374,64,160,96,0.1,0.001279713054131916,224
17,0258,0.9928333163261414,192,96,128,0.7000000000000001,0.001561164109127508,224
18,0314,0.9928333163261414,256,128,224,0.6,0.0005906296261520694,224
19,0359,0.9928333163261414,64,256,96,0.6,0.000995957370741093,224
20,0175,0.9927499890327454,64,96,256,0.4,0.0011304950051691499,224
21,0360,0.9927499890327454,160,96,160,0.1,0.0012502824673384133,224
22,0125,0.9926666617393494,96,96,224,0.30000000000000004,0.002481824293272705,224
23,0245,0.9926666617393494,128,224,64,0.5,0.0010509199655136681,224
24,0351,0.9926666617393494,160,160,160,0.6,0.002970900204700538,224
25,0355,0.9926666617393494,64,256,96,0.6,0.000995957370741093,224
26,0426,0.9926666617393494,32,96,256,0.7000000000000001,0.0008462322805190992,224
27,0452,0.9926666617393494,32,128,224,0.8,0.0020726369903837343,224
28,0259,0.9925833344459534,192,96,128,0.7000000000000001,0.001561164109127508,224
29,0275,0.9925833344459534,224,192,256,0.6,0.0016882510251331497,224
30,0315,0.9925833344459534,224,64,224,0.30000000000000004,0.0017846625733540663,224
31,0167,0.9925000071525574,128,256,96,0.7000000000000001,0.001400211655013328,224
32,0430,0.9925000071525574,256,224,96,0.4,0.0004900668694019312,224
33,0439,0.9925000071525574,192,192,192,0.8,0.000672414586438146,224
34,0053,0.9924166798591614,160,224,160,0.6,0.0021059431968100052,224
35,0075,0.9924166798591614,192,224,64,0.4,0.002479367058119384,224
36,0153,0.9924166798591614,256,96,192,0.2,0.0014568133071965574,224
37,0251,0.9924166798591614,64,128,224,0.4,0.002207095008816061,224
38,0311,0.9924166798591614,256,128,224,0.6,0.0005906296261520694,224
39,0150,0.9923333525657654,256,96,192,0.2,0.0014568133071965574,224
40,0256,0.9923333525657654,224,224,96,0.4,0.0007078536645991944,224
41,0268,0.9923333525657654,224,192,128,0.2,0.000548226109050801,224
42,0058,0.9922500252723694,160,224,160,0.6,0.0021059431968100052,224
43,0130,0.9922500252723694,96,96,224,0.30000000000000004,0.002481824293272705,224
44,0242,0.9922500252723694,32,64,224,0.5,0.001990917230013282,224
45,0244,0.9922500252723694,192,128,128,0.7000000000000001,0.0031872413747350407,224
46,0269,0.9922500252723694,256,224,256,0.6,0.0023475850027156703,224
47,0271,0.9922500252723694,192,224,96,0.6,0.0009237105654436841,224
48,0404,0.9922500252723694,64,96,96,0.5,0.0018651942728572966,224
49,0036,0.9921666383743286,256,96,256,0.4,0.00161557543393394,224
50,0039,0.9921666383743286,256,96,256,0.4,0.00161557543393394,224
51,0076,0.9921666383743286,224,128,128,0.7000000000000001,0.0005464614022628768,224
52,0091,0.9921666383743286,160,160,192,0.8,0.0007598433863293641,224
53,0168,0.9921666383743286,96,128,256,0.9,0.0007621631689572638,224
54,0272,0.9921666383743286,128,128,256,0.8,0.0009333115531827,224
55,0348,0.9921666383743286,160,160,160,0.6,0.002970900204700538,224
56,0406,0.9921666383743286,64,96,96,0.5,0.0018651942728572966,224
57,0163,0.9920833110809326,128,256,96,0.7000000000000001,0.001400211655013328,224
58,0164,0.9920833110809326,96,128,256,0.9,0.0007621631689572638,224
59,0246,0.9920833110809326,32,64,224,0.5,0.001990917230013282,224
60,0257,0.9920833110809326,96,32,256,0.4,0.0024260456546622883,224
61,0273,0.9920833110809326,256,224,256,0.1,0.0005866974740384089,224
62,0335,0.9920833110809326,224,32,224,0.4,0.0032580468282681196,224
63,0338,0.9920833110809326,224,32,224,0.4,0.0032580468282681196,224
64,0352,0.9920833110809326,192,64,160,0.30000000000000004,0.0019580406790486262,224
65,0403,0.9920833110809326,64,160,96,0.1,0.001279713054131916,224
66,0312,0.9919999837875366,224,64,224,0.30000000000000004,0.0017846625733540663,224
67,0366,0.9919999837875366,128,192,160,0.7000000000000001,0.0017920857189070067,224
68,0400,0.9919999837875366,64,96,96,0.5,0.0018651942728572966,224
69,0427,0.9919999837875366,256,224,96,0.4,0.0004900668694019312,224
70,0456,0.9919999837875366,256,96,96,0.4,0.0014377694293385267,224
71,0181,0.9919166564941406,160,192,32,0.30000000000000004,0.002741186175800979,224
72,0032,0.9918333292007446,32,128,256,0.2,0.003514222549445768,224
73,0128,0.9918333292007446,32,224,96,0.4,0.003754109692673946,224
74,0336,0.9918333292007446,96,128,128,0.8,0.0014825733072079664,224
75,0441,0.9918333292007446,96,32,160,0.1,0.00351961369045131,224
76,0131,0.9917500019073486,32,224,96,0.4,0.003754109692673946,224
77,0152,0.9917500019073486,128,192,32,0.4,0.0030106026957708028,224
78,0216,0.9917500019073486,96,256,160,0.6,0.0006799686297603734,224
79,0221,0.9917500019073486,32,96,192,0.6,0.004381751597484236,224
80,0255,0.9917500019073486,64,128,224,0.4,0.002207095008816061,224
81,0267,0.9917500019073486,256,256,32,0.30000000000000004,0.001726071629577545,224
82,0349,0.9917500019073486,192,64,160,0.30000000000000004,0.0019580406790486262,224
83,0030,0.9916666746139526,256,96,256,0.4,0.00161557543393394,224
