,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.8857269287109375,256,192,256,0.5,0.0005452907696240787,30,128
1,0.884973406791687,64,192,224,0.6,0.0008048044357614828,30,128
2,0.8847960829734802,224,224,160,0.5,0.0005873687279994449,30,128
3,0.8847074508666992,64,192,224,0.6,0.0008048044357614828,15,128
4,0.8846188187599182,128,160,224,0.7000000000000001,0.0004264401157975197,30,128
5,0.8844414949417114,160,64,256,0.5,0.000896642908951089,30,128
6,0.8840425610542297,192,160,224,0.6,0.0008039135930193981,30,128
7,0.883865237236023,32,64,224,0.6,0.001305867964914278,30,128
8,0.8834663033485413,224,224,224,0.4,0.0006894348101638671,15,128
9,0.8834663033485413,128,128,256,0.5,0.0006100627747318966,15,128
10,0.8834663033485413,256,192,256,0.5,0.0005452907696240787,15,128
11,0.8828900456428528,128,160,256,0.4,0.000332180455993387,30,128
12,0.8828457593917847,128,128,256,0.5,0.0006100627747318966,30,128
13,0.8828457593917847,160,96,256,0.6,0.0021976602707665946,30,128
14,0.8827570676803589,96,128,224,0.8,0.0007037773259220206,30,128
15,0.8826684355735779,32,224,160,0.5,0.0005153012012485323,30,128
16,0.8825798034667969,128,160,192,0.4,0.0008643979656783194,15,128
17,0.8825798034667969,160,256,256,0.30000000000000004,0.0002697880221321497,15,128
18,0.882535457611084,192,64,192,0.7000000000000001,0.0007672935450276402,30,128
19,0.882535457611084,160,256,256,0.30000000000000004,0.0002697880221321497,30,128
20,0.882535457611084,64,160,256,0.5,0.0012286522016093369,15,128
21,0.8823581337928772,160,64,256,0.5,0.000896642908951089,15,128
22,0.8823138475418091,256,224,256,0.8,0.0007132254478815692,30,128
23,0.8823138475418091,224,224,224,0.5,0.0010267634344924114,15,128
24,0.8822251558303833,128,160,256,0.4,0.000332180455993387,15,128
25,0.8821808695793152,32,224,160,0.5,0.0005153012012485323,15,128
26,0.8821808695793152,224,224,224,0.5,0.0010267634344924114,30,128
27,0.8820921778678894,224,224,224,0.2,0.000849905826981296,8,128
28,0.8817819356918335,160,192,256,0.8,0.0004140284427504012,30,128
29,0.8816932439804077,32,64,224,0.6,0.001305867964914278,15,128
30,0.8816489577293396,224,224,224,0.4,0.0006894348101638671,30,128
31,0.8816046118736267,64,160,256,0.5,0.0012286522016093369,30,128
32,0.8814716339111328,160,224,192,0.6,0.0001304185747067234,30,128
33,0.8810727000236511,256,96,160,0.6,0.0006922914402371949,30,128
34,0.8807181119918823,224,224,160,0.5,0.0005873687279994449,15,128
35,0.8806737661361694,128,160,224,0.7000000000000001,0.0004264401157975197,15,128
36,0.8804964423179626,192,64,160,0.30000000000000004,0.0002464202939394493,30,128
37,0.8802748322486877,128,96,128,0.4,0.0006574428982248856,30,128
38,0.880186140537262,192,64,128,0.30000000000000004,0.0005154994394291512,30,128
39,0.8801418542861938,128,160,192,0.4,0.0008643979656783194,8,128
40,0.8801418542861938,160,64,256,0.30000000000000004,0.0005885632225625683,15,128
41,0.880097508430481,224,224,224,0.2,0.000849905826981296,15,128
42,0.8800531625747681,64,192,256,0.4,0.0001162935622812577,30,128
43,0.8800088763237,160,192,128,0.4,0.0016124465281378271,30,128
44,0.8800088763237,160,96,256,0.6,0.0021976602707665946,15,128
45,0.879875898361206,224,224,224,0.4,0.0006894348101638671,8,128
46,0.8796985745429993,128,224,128,0.6,0.00027450960212191183,30,128
