,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.8908244967460632,288,320,480,0.7,0.0003908800077494143,100,32
1,0.8898049592971802,224,384,352,0.7,0.0004676840280217394,34,32
2,0.8894946575164795,448,256,512,0.7,0.00020787104247909936,34,32
3,0.8894060254096985,512,224,416,0.7,0.0002612419461357258,34,32
4,0.8891400694847107,192,288,480,0.7,0.0002695063558123358,34,32
5,0.8890070915222168,224,288,448,0.7,0.00018963253424383235,34,32
6,0.8890070915222168,288,320,352,0.7,0.0001407642824748898,34,32
7,0.8890070915222168,192,352,448,0.6,0.00013845704120970945,100,32
8,0.8888741135597229,416,416,480,0.7,0.00010372521502429778,34,32
9,0.88882976770401,192,288,480,0.7,0.0002695063558123358,100,32
10,0.888741135597229,192,416,416,0.7,0.0002748914527149517,100,32
11,0.8886967897415161,192,384,384,0.7,0.000195900317177882,100,32
12,0.8886081576347351,224,512,512,0.8,0.00015188272928255486,100,32
13,0.8885638117790222,448,352,480,0.8,0.0003062064277241342,100,32
14,0.8885638117790222,448,448,448,0.7,0.0002437740544340138,12,32
15,0.8885195255279541,160,480,480,0.8,0.0001940107077363305,100,32
16,0.8884751796722412,256,192,512,0.7,0.00017756862608381984,100,32
17,0.8884751796722412,224,512,512,0.8,0.00015188272928255486,34,32
18,0.8884308338165283,384,480,512,0.7,0.0004016454973653803,34,32
19,0.8883865475654602,448,256,512,0.7,0.00020787104247909936,100,32
20,0.8882535696029663,384,480,512,0.7,0.0004016454973653803,12,32
21,0.8882535696029663,256,192,512,0.7,0.00017756862608381984,34,32
22,0.8882092237472534,288,320,352,0.7,0.0001407642824748898,100,32
23,0.8881205916404724,480,288,480,0.7,0.00015087605411755507,34,32
24,0.8880762457847595,288,320,480,0.7,0.0003908800077494143,12,32
25,0.8880762457847595,448,256,512,0.7,0.00020787104247909936,12,32
26,0.8880318999290466,416,416,480,0.7,0.00010372521502429778,100,32
27,0.8880318999290466,448,448,448,0.7,0.0002437740544340138,100,32
28,0.8879876136779785,288,320,480,0.7,0.0003908800077494143,34,32
29,0.8878989219665527,128,256,320,0.6,0.0003703873341395499,34,32
30,0.8878989219665527,512,384,448,0.6,0.00012341673882947628,34,32
31,0.8878989219665527,416,416,480,0.7,0.00024044478549246302,12,32
32,0.8878989219665527,512,384,448,0.6,0.00012341673882947628,100,32
33,0.8878989219665527,128,416,480,0.8,0.00023471062384214012,100,32
34,0.8878102898597717,224,288,448,0.7,0.00018963253424383235,100,32
35,0.8878102898597717,192,384,384,0.7,0.000195900317177882,34,32
36,0.8877216577529907,512,224,416,0.7,0.0002612419461357258,100,32
37,0.8877216577529907,448,352,480,0.8,0.0003062064277241342,34,32
38,0.8877216577529907,320,224,448,0.6,0.00011138378796168332,34,32
39,0.8876773118972778,512,224,416,0.7,0.0002612419461357258,12,32
40,0.8876773118972778,480,256,416,0.6,0.00021395218531073074,12,32
41,0.8876773118972778,448,384,512,0.6,0.00010417635345785794,34,32
42,0.8876773118972778,256,384,448,0.5,0.00022103265802987293,12,32
43,0.8876329660415649,160,480,480,0.8,0.0001940107077363305,34,32
44,0.887499988079071,416,128,448,0.7,0.00034374755896593895,100,32
45,0.887499988079071,256,384,480,0.5,0.0002439706959562436,12,32
46,0.8874557018280029,512,384,448,0.6,0.00012341673882947628,12,32
47,0.88741135597229,480,448,512,0.6,0.00027812867132378936,34,32
48,0.8873670101165771,480,288,480,0.7,0.00015087605411755507,100,32
49,0.8873670101165771,448,448,448,0.7,0.0002437740544340138,34,32
50,0.887322723865509,512,160,416,0.7,0.00014161229132746316,100,32
51,0.887322723865509,256,512,320,0.7,0.00022946328712647698,34,32
52,0.887322723865509,224,512,448,0.7,0.00019964559965860205,100,32
53,0.8872783780097961,448,288,352,0.6,0.00033974207877850024,34,32
54,0.8872783780097961,416,416,480,0.7,0.00024044478549246302,34,32
55,0.8872783780097961,128,480,384,0.6,0.00020784578749955115,34,32
56,0.8872340321540833,448,416,512,0.7,0.00047626214918587907,100,32
57,0.8872340321540833,512,320,416,0.6,0.0001237094970206017,100,32
58,0.8872340321540833,128,480,480,0.7,0.00045007317596208377,34,32
59,0.8871454000473022,512,192,320,0.5,0.00014286565344246043,12,32
60,0.8871454000473022,160,256,416,0.6,0.0002619195108211941,34,32
61,0.8871010541915894,224,480,416,0.7,0.00023318055534738986,34,32
62,0.8871010541915894,416,384,512,0.8,0.0003549667030603547,100,32
63,0.8871010541915894,288,512,416,0.7,0.0002624719528056624,34,32
64,0.8870567083358765,480,288,480,0.7,0.00015087605411755507,12,32
65,0.8870567083358765,160,160,384,0.6,0.0005661034946280964,12,32
66,0.8870567083358765,416,384,512,0.8,0.0003549667030603547,34,32
67,0.8870124220848083,128,288,448,0.8,0.0005402926824884184,100,32
68,0.8870124220848083,192,320,288,0.7,0.00021762158109506617,100,32
69,0.8870124220848083,512,512,416,0.5,0.00017827434932720347,100,32
70,0.8870124220848083,288,512,416,0.7,0.0002624719528056624,12,32
71,0.8869680762290955,128,480,448,0.8,0.00012381977032600123,100,32
72,0.8869680762290955,352,352,480,0.5,0.00018190394246322486,12,32
73,0.8869680762290955,448,416,480,0.6,0.0004512586935369095,34,32
74,0.8869680762290955,512,320,416,0.6,0.0001237094970206017,34,32
75,0.8869680762290955,192,448,512,0.5,0.00011342327777118824,100,32
76,0.8869680762290955,128,224,512,0.7,0.00041801140491773403,34,32
77,0.8869237303733826,480,320,416,0.6,0.00019271174850425183,34,32
78,0.8869237303733826,128,224,480,0.6,0.00020499880040046495,100,32
79,0.8869237303733826,480,448,512,0.6,0.00027812867132378936,12,32
80,0.8869237303733826,416,384,384,0.7,0.0003787877006460665,34,32
81,0.8868794441223145,160,160,352,0.7,0.00038215177479680084,100,32
82,0.8868794441223145,384,320,416,0.7,0.0003964386092125445,34,32
83,0.8868794441223145,192,448,512,0.5,0.00011342327777118824,34,32
84,0.8868350982666016,384,128,512,0.6,0.00016578184918475733,100,32
85,0.8868350982666016,192,352,448,0.6,0.00013845704120970945,34,32
86,0.8868350982666016,448,256,448,0.8,0.00027203596320745434,34,32
87,0.8867907524108887,224,288,448,0.7,0.00018963253424383235,12,32
88,0.8867907524108887,128,480,352,0.8,0.0001871299735813211,100,32
89,0.8867907524108887,128,480,352,0.8,0.0001871299735813211,34,32
90,0.8867907524108887,128,224,480,0.6,0.00020499880040046495,12,32
91,0.8867907524108887,512,192,448,0.6,0.00024146395489127963,34,32
92,0.8867907524108887,128,128,416,0.7,0.0006040643365469941,34,32
93,0.8867907524108887,224,448,448,0.8,0.00039751677784854235,34,32
94,0.8867464661598206,128,512,416,0.5,0.0001217723610718794,34,32
95,0.8867464661598206,160,384,480,0.6,0.00038565953910005014,34,32
96,0.8867021203041077,192,288,480,0.7,0.0002695063558123358,12,32
97,0.8867021203041077,416,416,480,0.7,0.00024044478549246302,100,32
98,0.8867021203041077,384,448,384,0.7,0.0001918255612244948,12,32
99,0.8867021203041077,416,320,320,0.5,0.00016296611910738683,34,32
100,0.8866577744483948,512,352,448,0.6,0.00021112457248391713,100,32
101,0.8866577744483948,128,512,416,0.5,0.0001217723610718794,100,32
102,0.8866577744483948,480,256,416,0.6,0.00021395218531073074,100,32
103,0.8866577744483948,416,384,384,0.7,0.0003787877006460665,12,32
104,0.8866577744483948,352,352,352,0.6,0.00023361881027225977,34,32
105,0.8866577744483948,256,448,288,0.7,0.00033282868011929776,100,32
106,0.8866134881973267,320,320,352,0.5,0.00019631741182594186,34,32
107,0.8866134881973267,448,320,416,0.6,0.00014744833740095004,34,32
108,0.8866134881973267,352,288,416,0.5,0.00017305214448984938,34,32
109,0.8866134881973267,224,384,352,0.7,0.0004676840280217394,12,32
110,0.8865691423416138,192,320,480,0.5,0.0002027106956936728,12,32
111,0.8865691423416138,352,480,416,0.5,0.00019940071171196253,34,32
112,0.8865691423416138,512,192,448,0.6,0.00024146395489127963,12,32
113,0.8865691423416138,288,288,352,0.6,0.0002331016699463583,34,32
114,0.8865691423416138,256,384,448,0.5,0.00022103265802987293,34,32
115,0.8865691423416138,352,352,352,0.6,0.00023361881027225977,100,32
116,0.8865247964859009,384,160,480,0.7,0.0005046957636403948,34,32
117,0.8865247964859009,160,160,352,0.7,0.00038215177479680084,34,32
118,0.8865247964859009,384,128,512,0.6,0.00016578184918475733,34,32
119,0.8865247964859009,512,128,288,0.5,0.0004217920120596744,12,32
120,0.8865247964859009,160,224,448,0.6,0.000446373272756779,34,32
121,0.8864805102348328,288,288,352,0.6,0.0002331016699463583,12,32
122,0.8864805102348328,320,192,352,0.6,0.0005307659052752675,12,32
123,0.8864805102348328,224,448,448,0.8,0.00039751677784854235,100,32
124,0.8864805102348328,192,448,512,0.5,0.00011342327777118824,12,32
125,0.8864361643791199,512,480,288,0.7,0.0005020275874369846,34,32
126,0.8864361643791199,224,352,480,0.6,0.0007024935763419212,12,32
127,0.8864361643791199,192,416,416,0.7,0.0002748914527149517,34,32
128,0.886391818523407,288,320,320,0.7,0.000583786921687797,100,32
129,0.886391818523407,448,384,512,0.6,0.00010417635345785794,100,32
130,0.8863475322723389,256,192,192,0.5,0.0001850849822510791,100,32
131,0.8863475322723389,128,224,480,0.6,0.00020499880040046495,34,32
132,0.886303186416626,192,128,352,0.5,0.0002307329783891012,12,32
133,0.886303186416626,192,288,448,0.7,0.0004280287109609358,34,32
134,0.886303186416626,320,224,448,0.6,0.00011138378796168332,100,32
135,0.886303186416626,192,512,384,0.7,0.0006382032842658249,12,32
136,0.886303186416626,128,352,288,0.5,0.00043182663794062796,12,32
137,0.886303186416626,160,256,416,0.6,0.0002619195108211941,12,32
138,0.886303186416626,160,256,480,0.7,0.0002704056289288515,100,32
139,0.886303186416626,480,320,352,0.8,0.00037717567412772277,100,32
140,0.886303186416626,480,512,448,0.7,0.0004962676816794762,100,32
141,0.886303186416626,128,448,384,0.5,0.00028884266236640774,12,32
142,0.886303186416626,288,192,224,0.7,0.00012142114280631202,100,32
143,0.8862588405609131,384,480,448,0.7,0.0005955710814655439,34,32
144,0.8862588405609131,448,288,352,0.6,0.0003205677571914755,12,32
145,0.886214554309845,512,192,448,0.6,0.00024146395489127963,100,32
146,0.886214554309845,128,352,512,0.6,0.00032430797078636874,12,32
147,0.886214554309845,128,352,512,0.6,0.00032430797078636874,34,32
148,0.886214554309845,224,192,480,0.6,0.00047738615032126135,12,32
149,0.886214554309845,256,192,512,0.7,0.00017756862608381984,12,32
150,0.886214554309845,512,128,384,0.5,0.0002609593414492212,12,32
151,0.8861702084541321,384,448,448,0.5,0.00023323570889596272,12,32
152,0.8861702084541321,448,352,480,0.8,0.0003062064277241342,12,32
153,0.8861702084541321,416,128,448,0.7,0.00034374755896593895,34,32
154,0.8861702084541321,384,448,384,0.7,0.0001918255612244948,34,32
155,0.8861702084541321,128,480,480,0.7,0.00045007317596208377,100,32
156,0.8861258625984192,288,288,352,0.6,0.0002331016699463583,100,32
157,0.8861258625984192,480,256,416,0.6,0.00021395218531073074,34,32
158,0.8861258625984192,192,352,416,0.6,0.0005546926660169351,34,32
159,0.8861258625984192,192,512,352,0.7,0.00048236136262856145,12,32
160,0.8860815763473511,128,512,352,0.7,0.00034349065337067934,34,32
161,0.8860815763473511,448,480,384,0.5,0.00011192599018762091,34,32
162,0.8860815763473511,128,512,416,0.5,0.0001789087865652689,12,32
163,0.8860372304916382,320,320,352,0.5,0.00019631741182594186,12,32
164,0.8860372304916382,192,512,384,0.7,0.0006382032842658249,34,32
165,0.8860372304916382,448,480,384,0.5,0.00011192599018762091,100,32
166,0.8860372304916382,320,512,448,0.6,0.00010262224341347378,100,32
167,0.8860372304916382,256,384,224,0.6,0.0001748525746692403,100,32
168,0.8860372304916382,128,512,416,0.5,0.0001789087865652689,34,32
169,0.8860372304916382,384,128,512,0.6,0.00016578184918475733,12,32
170,0.8860372304916382,352,352,352,0.6,0.00023361881027225977,12,32
171,0.8859928846359253,192,128,352,0.5,0.0002307329783891012,34,32
172,0.8859928846359253,128,512,416,0.5,0.0001217723610718794,12,32
173,0.8859928846359253,448,384,512,0.6,0.00010417635345785794,12,32
174,0.8859928846359253,384,480,512,0.5,0.00025783946653224594,12,32
175,0.8859485983848572,448,288,480,0.5,0.00023394689673616212,34,32
176,0.8859485983848572,128,448,384,0.5,0.00028884266236640774,34,32
177,0.8859485983848572,224,384,480,0.6,0.0006627227375730981,12,32
178,0.8859485983848572,192,352,448,0.6,0.00013845704120970945,12,32
179,0.8859485983848572,352,288,416,0.6,0.0001611253995570754,34,32
180,0.8859485983848572,416,480,512,0.5,0.00019614917036933968,34,32
181,0.8859485983848572,448,384,480,0.7,0.0008514351248382884,100,32
182,0.8859042525291443,448,512,320,0.7,0.0001840813427048112,34,32
183,0.8859042525291443,288,192,416,0.8,0.0002011177778150545,34,32
184,0.8859042525291443,448,288,352,0.6,0.00033974207877850024,12,32
185,0.8859042525291443,352,384,512,0.6,0.00033002060343105235,12,32
186,0.8859042525291443,416,128,448,0.7,0.00034374755896593895,12,32
187,0.8859042525291443,320,160,416,0.5,0.00030005224043936523,12,32
188,0.8859042525291443,256,512,352,0.6,0.00028945608794774214,34,32
189,0.8858599066734314,128,480,448,0.8,0.00012381977032600123,34,32
190,0.8858599066734314,352,512,416,0.7,0.00029612821304246105,12,32
191,0.8858156204223633,480,256,192,0.6,0.00038035064226620897,100,32
192,0.8858156204223633,128,192,448,0.5,0.00023344411234093554,34,32
193,0.8858156204223633,512,128,384,0.5,0.0002609593414492212,34,32
194,0.8857712745666504,448,256,288,0.5,0.0003222392875001419,12,32
195,0.8857712745666504,416,384,416,0.7,0.0008759258320721067,34,32
196,0.8857712745666504,224,480,416,0.7,0.00023318055534738986,12,32
197,0.8857712745666504,512,192,352,0.6,0.000541346856932952,34,32
198,0.8857269287109375,224,416,480,0.5,0.00022046758376725772,12,32
199,0.8857269287109375,192,416,416,0.7,0.0002748914527149517,12,32
200,0.8857269287109375,320,288,384,0.7,0.0003460769096051137,34,32
201,0.8857269287109375,352,384,384,0.5,0.00023219162524663967,100,32
202,0.8857269287109375,384,128,480,0.6,0.0007317299700290723,12,32
203,0.8857269287109375,128,480,384,0.6,0.00020784578749955115,100,32
204,0.8856826424598694,128,512,352,0.7,0.00034349065337067934,12,32
205,0.8856826424598694,288,352,352,0.6,0.00041318619387463055,12,32
206,0.8856826424598694,128,256,320,0.6,0.0003703873341395499,100,32
