mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0.9961249828338624,128,160,224,0.6,0.000255787353947,224
0.9960833191871644,256,256,160,0.5,0.0008458403820081,96
0.9960625171661376,96,256,224,0.6,0.0003082773548138,224
0.9960625171661376,64,224,224,0.7000000000000001,0.0003989078125654,224
0.9960625171661376,160,224,192,0.6,0.0003272699987728,224
0.9960416555404664,160,96,224,0.5,0.0002880815736174,160
0.9960416555404664,192,96,192,0.6,0.0006820148289798,160
0.9960416555404664,256,224,192,0.6,0.0001749336928944,128
0.9960208535194396,192,128,192,0.4,0.0003206166563382,192
0.9960208535194396,256,256,192,0.4,0.0003061961194384,224
0.9960208535194396,32,256,224,0.5,0.0001032951090119,32
0.9960208535194396,224,192,256,0.7000000000000001,0.0006279852209383,128
0.9959999918937684,256,64,224,0.6,0.0003187894009751,128
0.9959999918937684,224,160,192,0.6,0.0002782718519856,64
0.9959999918937684,192,256,192,0.4,0.0003274764259835,224
0.9959999918937684,224,256,160,0.6,0.0002050997908445,128
0.9959791898727416,224,192,256,0.3,0.0003002247180547,32
0.9959583282470704,192,256,256,0.7000000000000001,0.0004445151116964,96
0.9959583282470704,224,128,160,0.5,0.0001520991980668,32
0.9959375262260436,224,256,160,0.4,0.0002726004495711,160
0.9959375262260436,224,192,256,0.3,0.0003002247180547,32
0.9959375262260436,32,128,256,0.7000000000000001,0.0004104894247276,96
0.9959375262260436,128,256,224,0.7000000000000001,0.0006789302083203,192
0.9959375262260436,256,160,192,0.5,0.0001637896230636,32
0.9959166646003724,160,192,96,0.4,0.0002379642913616,32
0.9959166646003724,224,192,160,0.5,0.0001617653097371,192
0.9959166646003724,160,96,224,0.5,0.0002880815736174,160
0.9959166646003724,96,256,128,0.5,0.0001492301582606,64
0.9958958625793456,192,160,192,0.6,0.0002026743260226,64
0.9958958625793456,32,256,256,0.7000000000000001,0.0001342818638266,32
0.9958958625793456,128,224,192,0.6,0.0009674781912297,192
0.9958958625793456,192,192,192,0.7000000000000001,0.0009892177862548,224
0.9958958625793456,192,192,256,0.7000000000000001,0.0001715515114761,160
0.9958750009536744,128,224,224,0.6,0.0004295489238381,64
0.9958750009536744,192,160,96,0.6,0.0006538446881599,192
0.9958750009536744,64,128,256,0.4,0.0009565242566984,64
0.9958750009536744,224,128,160,0.5,0.0001520991980668,32
0.9958750009536744,256,160,256,0.5,0.0006529927317508,160
0.9958750009536744,32,224,160,0.6,0.000506111754432,160
0.9958750009536744,64,256,224,0.5,0.0011436585757729,160
0.9958750009536744,32,128,256,0.7000000000000001,0.0004104894247276,96
0.9958750009536744,32,64,224,0.4,0.0007968497437462,224
0.9958750009536744,256,192,256,0.4,0.0004988935332981,224
0.9958750009536744,192,256,224,0.5,0.0008170324354132,192
0.9958750009536744,64,128,256,0.5,0.0003212616414464,128
0.9958750009536744,192,128,160,0.6,0.0001049451462933,32
0.9958541393280028,160,224,160,0.4,0.0004018528921404,160
0.9958541393280028,192,160,160,0.5,0.0006729406479006,192
0.9958541393280028,192,128,256,0.6,0.0001257525249694,96
0.9958541393280028,160,128,128,0.6,0.0004349689733989,96
0.9958541393280028,96,256,192,0.5,0.0003286746057803,128
0.9958541393280028,160,64,192,0.6,0.0004321822819022,160
0.9958541393280028,192,128,160,0.8,0.0003584911744295,160
0.9958541393280028,64,128,256,0.5,0.0003212616414464,128
0.9958541393280028,256,64,224,0.5,0.0002822848329707,128
0.9958333373069764,128,224,224,0.6,0.000987372911606,96
0.9958333373069764,224,160,224,0.8,0.0001419329350699,64
0.9958333373069764,128,224,256,0.6,0.0005717115688395,64
0.9958333373069764,224,224,256,0.3,0.0002503864140366,96
0.9958333373069764,192,128,224,0.4,0.0009635513804323,128
0.9958333373069764,128,256,256,0.6,0.0018516864311851,224
0.9958333373069764,256,160,256,0.5,0.0006529927317508,160
0.9958333373069764,32,256,256,0.7000000000000001,0.0001342818638266,32
0.9958333373069764,128,160,160,0.4,0.0005312719277854,192
0.9958124756813048,96,96,128,0.6,0.0003756328806509,64
0.9958124756813048,128,96,128,0.6,0.0007952701184972,224
0.9958124756813048,256,160,224,0.4,0.0001583397450377,64
0.9958124756813048,256,224,192,0.6,0.0001749336928944,128
0.9958124756813048,64,160,256,0.8,0.0004123608534849,128
0.9958124756813048,192,160,160,0.5,0.0006729406479006,192
0.9958124756813048,160,64,224,0.7000000000000001,0.0003050774916361,160
0.9958124756813048,96,64,256,0.6,0.0005382592399932,64
0.9958124756813048,192,96,192,0.6,0.0006820148289798,160
0.9958124756813048,32,256,224,0.5,0.0001032951090119,32
0.9957916736602784,64,160,256,0.8,0.0004123608534849,128
0.9957916736602784,128,192,224,0.6,0.00011698793363,128
0.9957916736602784,32,128,256,0.4,0.0008188505330283,64
0.9957916736602784,32,224,160,0.6,0.000506111754432,160
0.9957916736602784,96,64,160,0.7000000000000001,0.0003151070562909,192
0.9957916736602784,160,160,256,0.7000000000000001,0.0001559949865882,32
0.9957916736602784,224,128,192,0.7000000000000001,0.0015009509278527,224
0.9957916736602784,192,96,224,0.6,0.0010314280897923,224
0.9957916736602784,192,224,192,0.6,0.0002021868436609,160
0.9957916736602784,128,128,256,0.4,0.0005355035267411,160
0.9957916736602784,96,256,192,0.5,0.0003286746057803,128
0.9957708120346068,32,224,256,0.4,0.0001563312320481,32
0.9957708120346068,96,256,192,0.3,0.0002031636161953,128
0.9957708120346068,224,192,256,0.7000000000000001,0.0006279852209383,128
0.9957708120346068,128,256,192,0.4,0.0008887474360333,96
0.9957708120346068,32,128,256,0.4,0.0008188505330283,64
0.9957708120346068,128,64,224,0.6,0.0009895249588496,160
0.9957708120346068,160,256,192,0.6,0.0003589371213785,128
0.9957708120346068,192,256,256,0.7000000000000001,0.0005138473190043,128
0.9957708120346068,160,128,128,0.5,0.0004934463185932,192
0.9957708120346068,256,192,160,0.8,0.0002935340604899,64
0.9957500100135804,128,256,224,0.7000000000000001,0.0006789302083203,192
0.9957500100135804,128,224,160,0.4,0.0001194628572462,64
0.9957500100135804,128,256,160,0.3,0.0004778200802044,224
0.9957500100135804,192,96,256,0.3,0.0008259900546842,224
0.9957500100135804,96,256,192,0.5,0.0003286746057803,128
0.9957500100135804,192,256,192,0.4,0.0003274764259835,224
0.9957291483879088,64,256,192,0.2,0.0005215504951794,32
0.9957291483879088,160,192,160,0.6,0.0004832903550565,32
0.9957291483879088,128,256,224,0.5,0.0005334545424135,32
0.9957291483879088,224,256,160,0.6,0.0002050997908445,128
0.9957291483879088,96,128,256,0.8,0.0006358745983798,160
0.9957291483879088,160,256,192,0.6,0.000408447464175,160
0.9957291483879088,32,64,224,0.4,0.0007968497437462,224
0.9957291483879088,192,96,192,0.6,0.0006820148289798,160
0.9957291483879088,128,160,160,0.4,0.0005312719277854,192
0.9957291483879088,128,192,64,0.5,0.0003555649369416,192
0.9957291483879088,96,160,224,0.4,0.0003637071669946,160
0.9957291483879088,160,224,160,0.4,0.0004018528921404,160
0.9957291483879088,192,224,192,0.5,0.000441556539382,224
0.9957083463668824,64,224,224,0.7000000000000001,0.0003989078125654,224
0.9957083463668824,160,192,160,0.6,0.0004832903550565,32
0.9957083463668824,256,64,224,0.6,0.0003187894009751,128
0.9957083463668824,64,160,224,0.8,0.0008059008340409,96
0.9957083463668824,160,224,192,0.4,0.0008053201250101,192
0.9957083463668824,256,128,224,0.7000000000000001,0.0001622814754291,192
0.9957083463668824,32,64,256,0.5,0.0008510823262279,64
0.9957083463668824,96,64,256,0.6,0.0005382592399932,64
0.9957083463668824,64,192,192,0.5,0.0004421705791459,160
0.9957083463668824,64,192,192,0.5,0.0004421705791459,160
0.9957083463668824,192,160,128,0.6,0.0004528189539156,128
0.9957083463668824,224,160,160,0.6,0.0018085057273984,224
0.9957083463668824,256,128,256,0.5,0.0002368184590119,32
0.9957083463668824,160,192,96,0.4,0.0002379642913616,32
0.9956874847412108,160,256,128,0.3,0.000107396173964,32
0.9956874847412108,192,128,96,0.7000000000000001,0.0001853306871251,32
0.9956874847412108,256,128,256,0.5,0.0002368184590119,32
0.9956874847412108,160,256,192,0.6,0.0003589371213785,128
0.9956874847412108,192,96,256,0.3,0.0008259900546842,224
0.9956874847412108,224,256,160,0.6,0.00069404048243,128
0.9956874847412108,160,128,128,0.5,0.0004934463185932,192
0.9956874847412108,32,128,192,0.7000000000000001,0.0010470703300439,192
0.9956874847412108,224,224,224,0.7000000000000001,0.0001373575000752,192
0.9956874847412108,128,224,224,0.6,0.000987372911606,96
0.9956874847412108,192,128,256,0.5,0.0002946172832313,96
0.9956874847412108,224,128,256,0.3,0.000271968684133,192
0.9956874847412108,224,256,224,0.3,0.0003690433999352,64
0.9956874847412108,64,160,160,0.3,0.0001792012996707,64
0.9956874847412108,128,256,192,0.8,0.0007905622659491,160
0.9956874847412108,224,256,160,0.4,0.0002726004495711,160
0.9956874847412108,64,160,160,0.3,0.0001792012996707,64
0.9956874847412108,96,256,128,0.5,0.0001492301582606,64
0.9956874847412108,128,224,224,0.3,0.0006117391285246,64
0.9956874847412108,192,256,256,0.7000000000000001,0.0004445151116964,96
0.9956874847412108,32,256,224,0.4,0.0006773981501812,96
0.9956874847412108,224,160,224,0.8,0.0002255275563378,96
0.9956666827201844,32,160,160,0.5,0.0001882533379579,64
0.9956666827201844,128,128,128,0.5,0.0002088705468235,32
0.9956666827201844,256,192,256,0.4,0.0004988935332981,224
0.9956666827201844,192,160,128,0.6,0.0004528189539156,128
0.9956666827201844,160,160,64,0.5,0.0001880761488951,96
0.9956666827201844,160,128,128,0.6,0.0004349689733989,96
0.9956666827201844,32,224,160,0.5,0.0004503919820457,32
0.9956666827201844,224,64,256,0.8,0.0005829685393682,224
0.9956666827201844,96,160,224,0.4,0.0003637071669946,160
0.9956666827201844,128,128,256,0.4,0.0005355035267411,160
0.9956666827201844,160,128,128,0.6,0.0004349689733989,96
0.9956666827201844,160,128,256,0.4,0.0005195980279086,192
0.9956666827201844,224,96,224,0.4,0.0005174502906459,192
0.9956666827201844,160,96,160,0.4,0.0013483168145598,192
0.9956666827201844,256,160,256,0.5,0.0006529927317508,160
0.9956666827201844,160,192,224,0.7000000000000001,0.0008594450392645,128
0.9956666827201844,128,160,160,0.7000000000000001,0.0007980355466364,128
0.9956666827201844,192,192,256,0.5,0.0006766435736156,128
0.9956666827201844,128,256,224,0.5,0.0005334545424135,32
0.9956666827201844,32,256,224,0.4,0.0006773981501812,96
0.9956666827201844,160,160,192,0.4,0.0008973681703772,96
0.9956666827201844,160,256,128,0.7000000000000001,0.0006415570790457,96
0.9956666827201844,256,256,192,0.4,0.0003061961194384,224
0.9956666827201844,192,96,96,0.4,0.0005926782521575,96
0.9956666827201844,224,128,192,0.7000000000000001,0.0015009509278527,224
0.9956666827201844,256,128,256,0.3,0.0004660994711876,96
0.9956458210945128,160,96,192,0.7000000000000001,0.0003566118168918,96
0.9956458210945128,128,160,96,0.1,0.0002056648422207,96
